"GCM","bio_11 (ºC)","bio_17 (mm)","Delta bio_11 (ºC)","Delta bio_17 (mm)"
"mohc_hadgem2_es",5.98497159579962,112.87725942503,2.05228094336375,-18.0130831468411
"csiro_access1_0",5.71427095885695,113.323980030986,1.78158030642107,-17.5663625408848
"nimr_hadgem2_ao",6.29886383198485,113.354794284731,2.36617317954898,-17.5355482871406
"mohc_hadgem2_cc",5.929850232398,115.672749182303,1.99715957996213,-15.2175933895679
"mri_cgcm3",5.03048717507316,115.71802375624,1.09779652263729,-15.1723188156309
"giss_e2_r_cc",5.10752280943364,115.841969357893,1.17483215699776,-15.0483732139783
"gfdl_cm3",6.23893957651919,116.36822172491,2.30624892408332,-14.5221208469616
"bnu_esm",5.89567911860905,116.731967636426,1.96298846617318,-14.158374935445
"ipsl_cm5a_mr",6.4873300051644,117.386813565158,2.55463935272852,-13.5035290067137
"mpi_esm_lr",5.35918402478912,117.443794112584,1.42649337235324,-13.4465484592873
"bcc_csm1_1_m",5.34429333792391,117.609915648132,1.41160268548804,-13.280426923739
"cesm1_cam5",6.21852298158031,118.069202960923,2.28583232914443,-12.8211396109485
"ipsl_cm5a_lr",6.12327422964366,118.118609054915,2.19058357720778,-12.7717335169564
"csiro_mk3_6_0",5.02107075228094,118.999827853331,1.08838009984507,-11.8905147185402
"ENSEMBLE",5.70406380903196,119.74303666724,1.77137315659609,-11.1473059046307
"cesm1_bgc",5.90197968669306,119.814425890859,1.96928903425719,-11.0759166810122
"cccma_canesm2",6.47008090893441,119.92373902565,2.53739025649854,-10.9666035462214
"inm_cm4",5.26756756756757,120.159063522121,1.33487691513169,-10.7312790497504
"giss_e2_r",5.02573592700981,120.264589430195,1.09304527457394,-10.6257531416767
"csiro_access1_3",5.64393182991909,120.461180926149,1.71124117748322,-10.4291616457222
"ncar_ccsm4",5.66829058357721,121.009812360131,1.73559993114133,-9.8805302117404
"miroc_esm_chem",6.2027199173696,121.645205715269,2.27002926493372,-9.24513685660182
"miroc_esm",6.23967980719573,121.757101050095,2.30698915475986,-9.13324152177655
"gfdl_esm2m",5.14103976588053,122.515234980203,1.20834911344465,-8.3751075916681
"gfdl_esm2g",6.03670166982269,122.720433809606,2.10401101738681,-8.16990876226545
"miroc_miroc5",5.59767601996901,122.913926665519,1.66498536753314,-7.97641590635221
"ncc_noresm1_m",5.52019280426924,123.025822000344,1.58750215183336,-7.86452057152694
"lasg_fgoals_g2",5.26662076088828,124.876054398347,1.3339301084524,-6.01428817352384
"bcc_csm1_1",6.26899638491995,125.525391633672,2.33630573248408,-5.36495093819935
"fio_esm",4.89523153726975,126.465312446204,0.962540884833878,-4.42503012566707
"BASELINE",3.93269065243588,130.890342571871,0,0
"giss_e2_h_cc",5.22120846961611,131.696677569289,1.28851781718024,0.8063349974178
