"Taxon","Status","Stem","Leaf","Fruit","Ecology","Elevation","Bioregional Distribution","Flowering Time","eFlora Treatment Author","url","Distribution Outside California","Note","Synonyms","Inflorescence","Flower","Reference","Toxicity","Habit","Chromosomes","Staminate Flower","Pistillate Flower","Seed"
"Juglans californica","NATIVE"," trunk 6--9 m. "," petiole 2--5 cm; leaflets (9)11--15(17), 4--9.5 cm, generally narrow-elliptic to -lance-elliptic (less often lanceolate), +- serrate, rounded to acute, abaxial vein axils glabrous. "," 2--3.5 cm diam, nut shell thick, shallowly grooved. "," Hillsides and canyons; "," 30--900 m. "," SCoRO (Santa Lucia Range where cult), SW (exc ChI, SnBr). "," Mar--May Unabridged SynonymsJuglans californica S. Watson var. californica"," Alan T. WhittemoreJepson Online InterchangeListed on CNPS Rare Plant InventoryList of species Juglans californica Juglans hindsii Juglans regiaPrevious taxonJuglansNext taxon: Juglans hindsii
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=29566",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juglans hindsii","NATIVE"," trunk 6--23 m. "," petiole 3--8 cm; leaflets 13--21, (6)7--13 cm, narrow-triangular to -lanceolate, +- serrate, acuminate, abaxial vein axils with tufts of hairs. "," 3.5--5 cm diam, nut shell thick, smooth to shallowly grooved. "," Along streams, disturbed slopes; "," < 300 m. "," s NCoRI, s ScV, n SnJV, SnFrB; "," Apr--May "," Native to 3 sites, widely cultivated as rootstock for Juglans regia, escaping sporadically in CW, GV; some authorities contend that correct author citations are other than what is presented here (see ICPN).","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=29568"," southwestern Oregon. "," Native to 3 sites, widely cultivated as rootstock for Juglans regia, escaping sporadically in CW, GV. "," Juglans californica S. Watson var. hindsii Jeps.; Unabridged ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juglans regia","WAIF"," Trunk 5--30 m. "," petiole 5.5--11 cm; leaflets 5--11, 10--22 cm, elliptic to oblong-ovate, entire, generally short-acuminate (less often acute), abaxial vein axils with tufts of hairs. "," 3.5--5 cm diam, nut shell +- thin, wrinkled. "," Seedlings occasionally near cultivated trees; "," < 200 m. "," n NCoRO, GV, CW, SW; "," Apr "," Alan T. WhittemoreJepson Online InterchangeList of species Juglans californica Juglans hindsii Juglans regiaPrevious taxonJuglans hindsiiNext taxon: Pterocarya
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=29576"," native to southwestern Asia. "," Widely cultivated for nuts. Very short-lived in California unless grafted on resistant roots of Juglans hindsii or Juglans hindsii × Juglans regia, the latter reproducing in wild vegetation near plantings. Juglans regia also crosses with Juglans californica where planted near stands of the latter sp. Further study of walnut hybrids in California needed. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eucalyptus camaldulensis","NATURALIZED"," < 25 m, +- straight; branches often hanging in clumps; bark persistent near base, generally shed in irregular strips, smooth, gray or tan. "," 6--20 cm, 1.5--2.5 cm wide, lanceolate. "," 0.5--1 cm, +- hemispheric; valves exserted. "," Common. Disturbed areas; "," < 300 m. "," NCoRO, GV, CW (exc SCoRI), SCo, n ChI (Santa Cruz Island), TR, PR; "," Apr--Jul "," Matt Ritter","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=25257"," native to Australia; naturalized in Arizona. "," As cultivated sp., ranks 1 outside California, 2 in California. ",NA," umbel, 7--11-flowered. "," hypanthium 2--3 mm, hemispheric, +- = bud cap; bud cap hemispheric, beaked (bluntly conic); stamens white. "," Brooker 2000 Austral Syst Bot 13:79--148Jepson Online InterchangeWeed listed by Cal-IPC List of species Eucalyptus camaldulensis Eucalyptus citriodora Eucalyptus cladocalyx Eucalyptus conferruminata Eucalyptus globulus Eucalyptus polyanthemos Eucalyptus pulchella Eucalyptus sideroxylon Eucalyptus tereticornis Eucalyptus viminalisPrevious taxonEucalyptusNext taxon: Eucalyptus citriodora
Name Search",NA,NA,NA,NA,NA,NA
"Eucalyptus citriodora","NATURALIZED"," 20--35 m, straight, slender; bark smooth, shed in irregular pieces, occasionally spotted, white or golden when first exposed, tan in age. "," 10--20 cm, 1--2 cm wide, lanceolate, lemon-scented. "," < 15 mm, urn-shaped; valves included. "," Uncommon. Disturbed coastal areas; "," generally < 200 m. "," SCo; "," Dec--May "," Matt Ritter","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=25259"," native to northeastern Australia. "," Commonly cultivated in California; treated by some as Corymbia citriodora (Hook.) Hill & Johnson (Hill & Johnson 1995 Telopea 6:185--504). "," Eucalyptus maculata Hook. var. citriodora (Hook.) L.H. Bailey; "," panicle of 3--5-flowered umbels. "," hypanthium 5--6 mm, hemispheric, > bud cap; bud cap generally beaked; stamens white. "," Brooker 2000 Austral Syst Bot 13:79--148Jepson Online InterchangeList of species Eucalyptus camaldulensis Eucalyptus citriodora Eucalyptus cladocalyx Eucalyptus conferruminata Eucalyptus globulus Eucalyptus polyanthemos Eucalyptus pulchella Eucalyptus sideroxylon Eucalyptus tereticornis Eucalyptus viminalisPrevious taxonEucalyptus camaldulensisNext taxon: Eucalyptus cladocalyx
Name Search",NA,NA,NA,NA,NA,NA
"Eucalyptus cladocalyx","NATURALIZED"," 10--20 m, generally straight; bark shed in large irregular patches, +- smooth, white, often mottled gray, orange, or tan. "," 8--15 cm, 2--3 cm wide, +- widely lanceolate, lighter abaxially. "," 1--1.5 cm, +- urn-shaped, ribbed; valves included. "," Uncommon. Disturbed coastal areas; "," generally < 200 m. "," CCo, SCo, PR; "," Apr--Jul "," Matt Ritter","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=25260"," native to southern Australia. "," Commonly cultivated in southern California. "," Eucalyptus corynocalyx F. Muell.; "," umbel, 7--11-flowered, generally on leafless branches. "," hypanthium < 1 cm, cylindric or urn-shaped, +- ridged; bud cap hemispheric to conic, < hypanthium, > hypanthium in width; stamens white. "," Brooker 2000 Austral Syst Bot 13:79--148Jepson Online InterchangeList of species Eucalyptus camaldulensis Eucalyptus citriodora Eucalyptus cladocalyx Eucalyptus conferruminata Eucalyptus globulus Eucalyptus polyanthemos Eucalyptus pulchella Eucalyptus sideroxylon Eucalyptus tereticornis Eucalyptus viminalisPrevious taxonEucalyptus citriodoraNext taxon: Eucalyptus conferruminata
Name Search"," TOXIC to livestock in Australia. ",NA,NA,NA,NA,NA
"Eucalyptus conferruminata","NATURALIZED"," 1--5 m, irregularly branched; bark smooth, shed in strips, short ribbons, light gray or tan. "," 5--9 cm, 1--4 cm wide, elliptic to elongate-elliptic, glossy, light green. "," sessile, fused at base into cluster 3--6 cm wide; valves 3, exserted, style remnants persistent. "," Uncommon. Disturbed coastal areas; "," generally < 200 m. "," CCo, SCo; "," Apr--Jul "," Matt Ritter","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=86325"," native to southwestern Australia. "," Commonly cultivated as screen, SnFrB south. ",NA," umbel, flowers 7--19, fused at base; peduncle flat, 1--2 cm wide. "," bud cap finger-shaped; stamens yellow-green. "," Brooker 2000 Austral Syst Bot 13:79--148Jepson Online InterchangeList of species Eucalyptus camaldulensis Eucalyptus citriodora Eucalyptus cladocalyx Eucalyptus conferruminata Eucalyptus globulus Eucalyptus polyanthemos Eucalyptus pulchella Eucalyptus sideroxylon Eucalyptus tereticornis Eucalyptus viminalisPrevious taxonEucalyptus cladocalyxNext taxon: Eucalyptus globulus
Name Search",NA,NA,NA,NA,NA,NA
"Eucalyptus globulus","NATURALIZED"," < 60 m, straight; bark sometimes persistent near base, otherwise shed in irregular strips, smooth, blue-gray; twigs +- square or winged. "," 10--30 cm, 2.5--4 cm wide, generally narrowly lanceolate, often sickle-shaped, generally aromatic. "," > 2 cm, +- 4-ribbed, warty, glaucous, rim wide, thickened; valves +- not exserted. "," Common. Disturbed areas; "," < 300 m. "," NCoRO, GV, CW, SW; "," Oct--Jan "," Matt Ritter","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=25266"," native to southeastern Australia. "," Most cultivated, most naturalized, tallest flower plants in California; easily recognized by large, solitary flowers, fruits; growth rapid. ",NA," flowers 1 in axils, +- sessile. "," hypanthium < 2 cm, +- 4-ribbed, obconic, glaucous; bud cap flat-hemispheric, with central knob, generally < hypanthium, warty, glaucous; stamens white. "," Brooker 2000 Austral Syst Bot 13:79--148Jepson Online InterchangeWeed listed by Cal-IPC List of species Eucalyptus camaldulensis Eucalyptus citriodora Eucalyptus cladocalyx Eucalyptus conferruminata Eucalyptus globulus Eucalyptus polyanthemos Eucalyptus pulchella Eucalyptus sideroxylon Eucalyptus tereticornis Eucalyptus viminalisPrevious taxonEucalyptus conferruminataNext taxon: Eucalyptus polyanthemos
Name Search",NA,NA,NA,NA,NA,NA
"Eucalyptus polyanthemos","NATURALIZED"," < 25 m; bark highly varied, rough, fibrous, persistent or smooth, shed in flakes or irregular strips, gray or tan. "," 5--10 cm, 1.5--5 cm wide, round, elliptic, or ovate, gray-green, silver, or blue-green, occasionally glaucous. "," 5--6 mm, pear- to bowl-shaped; valves included. "," Uncommon. Disturbed coastal areas; "," < 200 m. "," SnJV, CCo, SnFrB, SCoRO, SCo, s ChI (Santa Catalina Island), WTR; "," Dec--Feb "," Matt Ritter","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=25275"," native to southeastern Australia. "," Commonly cultivated in California; often juvenile, adult, and transitional leaves in mature crowns of naturalized plants; juvenile leaves used in floral arrangements. ",NA," terminal or axillary panicle of 5--7 flowered umbels. "," hypanthium +- 4 mm, ovoid to obconic, +- 2 × bud cap; bud cap conic to hemispheric; stamens white. "," Brooker 2000 Austral Syst Bot 13:79--148Jepson Online InterchangeList of species Eucalyptus camaldulensis Eucalyptus citriodora Eucalyptus cladocalyx Eucalyptus conferruminata Eucalyptus globulus Eucalyptus polyanthemos Eucalyptus pulchella Eucalyptus sideroxylon Eucalyptus tereticornis Eucalyptus viminalisPrevious taxonEucalyptus globulusNext taxon: Eucalyptus pulchella
Name Search",NA,NA,NA,NA,NA,NA
"Eucalyptus pulchella","NATURALIZED"," < 20 m, branches erect; bark shedding in long strips, smooth, occasionally shaggy or rough near base, white to blue-gray. "," 5--10 cm, generally < 0.5 cm wide, linear, dark green, +- peppermint odor when crushed. "," 4--6 mm, ovoid to cup-shaped; valves not exserted. "," Uncommon. Disturbed areas; "," < 200 m. "," SnFrB; "," Dec--Feb "," Matt Ritter","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=81244"," native to southeastern Australia, rarely cultivated in California. ",NA,NA," umbel, 9--15-flowered. "," hypanthium +- 2 mm, obconic, +- = bud cap; bud cap hemispheric; stamens white. "," Brooker 2000 Austral Syst Bot 13:79--148Jepson Online InterchangeList of species Eucalyptus camaldulensis Eucalyptus citriodora Eucalyptus cladocalyx Eucalyptus conferruminata Eucalyptus globulus Eucalyptus polyanthemos Eucalyptus pulchella Eucalyptus sideroxylon Eucalyptus tereticornis Eucalyptus viminalisPrevious taxonEucalyptus polyanthemosNext taxon: Eucalyptus sideroxylon
Name Search",NA,NA,NA,NA,NA,NA
